Min,Max,Result
1,1,You call that a crit? Roll damage as normal.
2,3,"Nauseous! Roll damage as normal and the creature has disadvantage on its next ability check, attack roll, or saving throw."
4,6,"Good hit! Do not roll your damage dice, instead deal the maximum result possible with those dice."
7,8,"Sickened! Roll your damage as normal and the creature has disadvantage on all ability checks, attack rolls, and saving throws until the end of its next turn."
9,11,Great hit! Roll twice as many damage dice as normal.
12,13,Poisoned! Roll twice as many damage dice as normal and the creature is poisoned for the next minute. The creature may attempt a saving throw at the end of each of its turns (DC 12) to end this effect.
14,16,Contaminated! Roll twice as many damage dice as normal and the creature is poisoned for the next minute. The creature may attempt a saving throw at the end of each of its turns (DC 16) to end this effect.
17,18,Toxic shock! Deal the maximum amount of damage from your normal damage dice then roll your damage dice and add that result. Then roll on the minor injury chart and the creature is poisoned for the next minute. The creature may attempt a saving throw at the end of each of its turns (DC 12) to end this effect.
19,19,System failure! Deal twice the maximum result of your damage dice and roll on the major injury chart.
20,20,"Biological breakdown! Deal twice the maximum result of your damage dice, roll on the major injury chart, and the creature is poisoned for the next minute. The creature may attempt a saving throw at the end of each of its turns (DC 16) to end this effect."
